functional_category	response_class	n
biofilm_cell_envelope	conserved_down	16
biofilm_cell_envelope	conserved_up	5
biofilm_cell_envelope	opposite	5
glycine_betaine_choline	conserved_down	12
glycine_betaine_choline	conserved_up	9
glycine_betaine_choline	opposite	12
oxidative_stress	conserved_down	6
oxidative_stress	conserved_up	5
oxidative_stress	opposite	11
poly_gamma_glutamate	conserved_up	2
proline	conserved_up	8
proline	opposite	1
regulation	conserved_down	11
regulation	conserved_up	23
regulation	opposite	18
sodium_homeostasis	conserved_down	1
sodium_homeostasis	conserved_up	18
transport	conserved_down	48
transport	conserved_up	30
transport	opposite	44
